,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
660,Emerson Palmieri dos Santos,95.5,10.0,Giorgio Chiellini,77.8,14.0,,
661,Giorgio Chiellini,77.8,14.0,Marco Verratti,74.6,25.7,,
662,Marco Verratti,77.8,26.3,Emerson Palmieri dos Santos,89.5,24.9,,
663,Giorgio Chiellini,82.4,8.9,Lorenzo Insigne,90.1,4.9,Recovery,
664,Lorenzo Insigne,90.1,4.9,Marco Verratti,76.1,15.4,,
665,Marco Verratti,76.1,15.4,Giorgio Chiellini,80.4,7.2,,
666,Giorgio Chiellini,80.4,7.2,Marco Verratti,70.9,18.0,,
667,Marco Verratti,70.6,22.3,Leonardo Bonucci,63.8,36.0,,
668,Leonardo Bonucci,66.1,37.4,Lorenzo Insigne,95.5,2.8,,
669,Lorenzo Insigne,91.8,3.4,Giorgio Chiellini,85.0,8.9,,
670,Giorgio Chiellini,85.0,8.9,Marco Verratti,80.7,25.7,,
671,Marco Verratti,84.7,26.9,Jorge Luiz Frello Filho,78.4,38.3,,
672,Jorge Luiz Frello Filho,75.5,42.0,Giorgio Chiellini,78.7,24.3,,
673,Giorgio Chiellini,73.5,24.9,Leonardo Bonucci,60.7,43.5,,
674,Leonardo Bonucci,62.7,43.5,Giorgio Chiellini,64.4,25.4,,
675,Giorgio Chiellini,70.6,21.1,Marco Verratti,70.6,28.3,,
676,Marco Verratti,70.6,28.3,Giorgio Chiellini,74.1,19.7,,
677,Giorgio Chiellini,74.1,19.7,Marco Verratti,69.8,26.6,,
678,Marco Verratti,72.1,29.2,Jorge Luiz Frello Filho,68.0,42.9,,
679,Jorge Luiz Frello Filho,68.6,43.5,Giovanni Di Lorenzo,63.8,65.8,,
680,Giovanni Di Lorenzo,65.0,68.4,Domenico Berardi,76.9,77.5,,
681,Domenico Berardi,72.6,76.6,Leonardo Bonucci,51.2,44.3,,
682,Leonardo Bonucci,53.5,42.0,Marco Verratti,57.2,26.9,,
683,Marco Verratti,57.2,23.4,Lorenzo Insigne,77.8,2.6,,
684,Lorenzo Insigne,82.4,4.9,Marco Verratti,70.6,22.9,,
685,Marco Verratti,82.7,19.4,Lorenzo Insigne,92.9,13.4,,Incomplete
686,Giorgio Chiellini,57.2,22.9,Leonardo Bonucci,50.9,34.8,Recovery,
687,Leonardo Bonucci,53.2,36.0,Jorge Luiz Frello Filho,61.5,38.6,,
688,Jorge Luiz Frello Filho,61.8,48.1,Giorgio Chiellini,64.1,28.3,,
689,Giorgio Chiellini,69.2,20.6,Marco Verratti,70.9,30.3,,
690,Marco Verratti,70.9,30.3,Jorge Luiz Frello Filho,68.3,41.4,,
691,Jorge Luiz Frello Filho,70.0,38.3,Marco Verratti,69.2,27.2,,
692,Marco Verratti,66.7,28.9,Leonardo Bonucci,56.9,36.0,,
693,Leonardo Bonucci,68.3,45.5,Bryan Cristante,82.7,62.3,,
694,Bryan Cristante,86.7,68.9,Domenico Berardi,97.8,76.6,,
695,Domenico Berardi,100.1,76.0,Bryan Cristante,115.5,63.5,,
696,Bryan Cristante,116.7,63.5,Emerson Palmieri dos Santos,113.8,36.6,,Incomplete
697,Gianluigi Donnarumma,13.4,26.0,Giorgio Chiellini,43.2,20.9,,
698,Giorgio Chiellini,59.5,18.8,Jorge Luiz Frello Filho,57.2,26.3,,
699,Jorge Luiz Frello Filho,68.6,29.5,Bryan Cristante,101.8,43.7,,Incomplete
700,Leonardo Bonucci,60.4,28.6,Federico Bernardeschi,79.5,33.1,Interception,
701,Federico Bernardeschi,69.8,27.5,Emerson Palmieri dos Santos,76.9,23.2,,
702,Bryan Cristante,28.3,64.9,Domenico Berardi,54.9,80.0,Interception,Out
703,Giorgio Chiellini,62.1,6.9,Marco Verratti,71.9,7.8,Recovery,
704,Marco Verratti,71.9,7.8,Federico Bernardeschi,72.3,5.6,,Incomplete
705,Emerson Palmieri dos Santos,62.9,4.6,Marco Verratti,73.3,14.5,Recovery,Unknown
706,Marco Verratti,70.2,12.0,Giorgio Chiellini,62.8,12.0,Free Kick,
707,Giorgio Chiellini,62.8,12.0,Marco Verratti,67.7,13.2,,
708,Marco Verratti,65.5,15.5,Leonardo Bonucci,55.0,31.1,,
709,Leonardo Bonucci,56.8,33.9,Giorgio Chiellini,57.4,16.4,,
710,Giorgio Chiellini,63.7,13.2,Leonardo Bonucci,55.1,31.5,,
711,Leonardo Bonucci,60.3,34.2,Giorgio Chiellini,70.6,8.6,,
712,Giorgio Chiellini,72.3,4.6,Emerson Palmieri dos Santos,80.8,1.2,,
713,Emerson Palmieri dos Santos,80.8,1.2,Federico Bernardeschi,98.2,4.2,,
714,Federico Bernardeschi,101.1,4.0,,100.9,6.9,,Incomplete
715,Federico Bernardeschi,108.6,4.0,Emerson Palmieri dos Santos,110.9,4.4,,Pass Offside
716,Giorgio Chiellini,34.8,11.2,Marco Verratti,43.1,12.0,Recovery,
717,Marco Verratti,43.1,12.0,Andrea Belotti,53.4,13.7,,
718,Andrea Belotti,62.5,39.2,Bryan Cristante,65.4,63.8,,
719,Bryan Cristante,65.4,63.8,Domenico Berardi,103.8,55.5,,Unknown
720,Giovanni Di Lorenzo,22.7,80.0,Jorge Luiz Frello Filho,20.7,73.3,Throw-in,
721,Jorge Luiz Frello Filho,20.7,73.3,Giovanni Di Lorenzo,22.7,76.9,,
722,Giovanni Di Lorenzo,22.3,77.5,Jorge Luiz Frello Filho,18.4,76.2,,
723,Leonardo Bonucci,9.4,70.7,Jorge Luiz Frello Filho,18.0,67.6,Free Kick,
724,Jorge Luiz Frello Filho,18.0,67.6,Leonardo Bonucci,10.2,70.2,,
725,Leonardo Bonucci,9.7,68.8,Gianluigi Donnarumma,7.3,43.7,,
726,Gianluigi Donnarumma,11.6,43.1,Giorgio Chiellini,14.7,35.7,,
727,Giorgio Chiellini,16.4,35.4,Leonardo Bonucci,21.0,51.8,,
728,Leonardo Bonucci,25.9,52.2,Giorgio Chiellini,31.3,29.7,,
729,Giorgio Chiellini,32.3,29.4,Leonardo Bonucci,39.4,44.8,,
730,Leonardo Bonucci,42.1,41.3,Giorgio Chiellini,42.2,24.0,,
731,Giorgio Chiellini,42.1,21.1,Marco Verratti,48.3,12.6,,
732,Marco Verratti,48.9,19.4,Leonardo Bonucci,42.1,37.6,,
733,Leonardo Bonucci,43.8,37.2,Marco Verratti,48.3,28.5,,
734,Marco Verratti,49.9,28.5,Giorgio Chiellini,55.7,12.0,,
735,Giorgio Chiellini,61.5,9.1,Emerson Palmieri dos Santos,69.4,1.0,,
736,Emerson Palmieri dos Santos,69.4,1.0,Giorgio Chiellini,55.1,3.9,,
737,Giorgio Chiellini,46.6,6.4,Leonardo Bonucci,40.9,26.1,,
